manufacturer,prefix,suffix,normal_size,normal_font,normal_face,normal_weight,normal_width,normal_orientation,aux1_size,aux1_font,aux1_face,aux1_weight,aux1_width,aux1_orientation,aux2_size,aux2_font,aux2_face,aux2_weight,aux2_width,aux2_orientation
Linotype,7,746,7,Helvetica,(roman),light,condensed,(horizontal),7,Helvetica,(roman),bold,condensed,(horizontal),,,,,,
Linotype,11,746,11,Helvetica,(roman),light,condensed,(horizontal),11,Helvetica,(roman),bold,condensed,(horizontal),,,,,,
Linotype,6,750,6,Optima,(roman),medium,(regular),(horizontal),7,Optima,italic,black,(regular),(horizontal),,,,,,
Linotype,7,750,7,Optima,(roman),medium,(regular),(horizontal),8,Optima,italic,medium,(regular),(horizontal),,,,,,
Linotype,8,750,8,Optima,(roman),medium,(regular),(horizontal),8,Optima,italic,medium,(regular),(horizontal),,,,,,
Linotype,9,750,9,Optima,(roman),medium,(regular),(horizontal),10,Optima,italic,medium,(regular),(horizontal),,,,,,
Linotype,10,750,10,Optima,(roman),medium,(regular),(horizontal),11,Optima,italic,medium,(regular),(horizontal),,,,,,
Linotype,12,750,12,Optima,(roman),medium,(regular),(horizontal),12,Optima,italic,medium,(regular),(horizontal),,,,,,
Linotype,6,754,6,Helvetica,(roman),light,(regular),(horizontal),6,Helvetica,italic,light,(regular),(horizontal),,,,,,
Linotype,7,754,7,Helvetica,(roman),light,(regular),(horizontal),7,Helvetica,italic,light,(regular),(horizontal),,,,,,
Linotype,8,754,8,Helvetica,(roman),light,(regular),(horizontal),8,Helvetica,italic,light,(regular),(horizontal),,,,,,
Linotype,9,754,9,Helvetica,(roman),light,(regular),(horizontal),9,Helvetica,italic,light,(regular),(horizontal),,,,,,
Linotype,10,754,10,Helvetica,(roman),light,(regular),(horizontal),10,Helvetica,italic,light,(regular),(horizontal),,,,,,
Linotype,12,754,12,Helvetica,(roman),light,(regular),(horizontal),12,Helvetica,italic,light,(regular),(horizontal),,,,,,
Linotype,14,754,14,Helvetica,(roman),light,(regular),(horizontal),14,Helvetica,italic,light,(regular),(horizontal),,,,,,
Linotype,6,7912,6,Parma,(roman),(regular),(regular),(horizontal),6,Boldface No. 11,italic,(regular),(regular),(horizontal),,,,,,
Linotype,8,7913,8,Parma,(roman),(regular),(regular),(horizontal),8,Boldface No. 11,italic,(regular),(regular),(horizontal),,,,,,
Linotype,9,7914,9,Parma,(roman),(regular),(regular),(horizontal),9,Boldface No. 11,italic,(regular),(regular),(horizontal),,,,,,
Linotype,10,7915,10,Parma,(roman),(regular),(regular),(horizontal),10,Boldface No. 11,italic,(regular),(regular),(horizontal),,,,,,
Linotype,12,7916,12,Parma,(roman),(regular),(regular),(horizontal),12,Boldface No. 11,italic,(regular),(regular),(horizontal),,,,,,
Linotype,6,7917,6,Parma,(roman),(regular),(regular),(horizontal),6,Parma,italic,(regular),(regular),(horizontal),6,Parma,small cap,(regular),(regular),(horizontal)
Linotype,8,7918,8,Parma,(roman),(regular),(regular),(horizontal),8,Parma,italic,(regular),(regular),(horizontal),8,Parma,small cap,(regular),(regular),(horizontal)
Linotype,9,7919,9,Parma,(roman),(regular),(regular),(horizontal),9,Parma,italic,(regular),(regular),(horizontal),9,Parma,small cap,(regular),(regular),(horizontal)
Linotype,10,7920,10,Parma,(roman),(regular),(regular),(horizontal),10,Parma,italic,(regular),(regular),(horizontal),10,Parma,small cap,(regular),(regular),(horizontal)
Linotype,12,7921,12,Parma,(roman),(regular),(regular),(horizontal),12,Parma,italic,(regular),(regular),(horizontal),12,Parma,small cap,(regular),(regular),(horizontal)
Linotype,12,7978,12,Garamond No. 2,(roman),(regular),(regular),(horizontal),12,Garamond No. 2,italic,(regular),(regular),(horizontal),,,,,,
Linotype,6,7989,6,Garamond No. 2,(roman),(regular),(regular),(horizontal),6,Garamond No. 2,bold,(regular),(regular),(horizontal),,,,,,
Linotype,8,7990,8,Garamond No. 2,(roman),(regular),(regular),(horizontal),8,Garamond No. 2,bold,(regular),(regular),(horizontal),,,,,,
Linotype,9,7991,9,Garamond No. 2,(roman),(regular),(regular),(horizontal),9,Garamond No. 2,bold,(regular),(regular),(horizontal),,,,,,
Linotype,10,7992,10,Garamond No. 2,(roman),(regular),(regular),(horizontal),10,Garamond No. 2,bold,(regular),(regular),(horizontal),,,,,,
Linotype,12,7993,12,Garamond No. 2,(roman),(regular),(regular),(horizontal),12,Garamond No. 2,bold,(regular),(regular),(horizontal),,,,,,
Linotype,6,7994,6,Garamond No. 2,(roman),(regular),(regular),(horizontal),6,Garamond No. 2,italic,(regular),(regular),(horizontal),,,,,,
Linotype,8,7995,8,Garamond No. 2,(roman),(regular),(regular),(horizontal),8,Garamond No. 2,italic,(regular),(regular),(horizontal),,,,,,
Linotype,9,7996,9,Garamond No. 2,(roman),(regular),(regular),(horizontal),9,Garamond No. 2,italic,(regular),(regular),(horizontal),,,,,,
Linotype,10,7997,10,Garamond No. 2,(roman),(regular),(regular),(horizontal),10,Garamond No. 2,italic,(regular),(regular),(horizontal),,,,,,
Linotype,10,8150,10,Durer,(roman),light,(regular),(horizontal),10,Durer,(roman),bold,(regular),(horizontal),,,,,,
Linotype,8,8151,8,Gothic No. 50,(roman),(regular),(regular),(horizontal),8,Gothic No. 51,(roman),(regular),(regular),(horizontal),,,,,,
Linotype,6,8152,6,Gothic No. 50,(roman),(regular),(regular),(horizontal),6,Gothic No. 51,(roman),(regular),(regular),(horizontal),,,,,,
Linotype,12,8153,12,Gothic No. 50,(roman),(regular),(regular),(horizontal),12,Gothic No. 51,(roman),(regular),(regular),(horizontal),,,,,,
